Posted Date,Reference Number,Payee,Type,Address,Amount
2/6/2016,24275396037397200204813,ANDERSON HONDA PALO ALTO CA,Shopping_Entertainment_Miscellaneous,PALO ALTO     CA,-125.24
2/6/2016,24692166036000216716084,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,Shopping_Entertainment_Miscellaneous,AMZN.COM/BILL WA,-162.27
2/6/2016,24692166036000013831342,NETFLIX.COM NETFLIX.COM CA,Shopping_Entertainment_Miscellaneous,NETFLIX.COM   CA,-7.99
2/5/2016,24906416035022878921382,ADY*LIFT TICKETS 800-3490870 CA,Shopping_Entertainment_Miscellaneous,800-3490870   CA,-118
2/3/2016,03406005720005482331064,Online payment from CHK 2,NA,,358.79
2/3/2016,24445006033200123178128,CLIPPER SERVICE #3030 PALO ALTO CA,Transportation,PALO ALTO     CA,-179
2/1/2016,24692166031000472733703,SQ *TEASPOON San Jose CA,Food,San Jose      CA,-4.89
2/1/2016,24492156030741397793777,SQ *TEASPOON SNOW C MOUNTAIN VIEWCA,Food,MOUNTAIN VIEW CA,-4.89
1/29/2016,24445006029600182010995,WALGREENS #7044 SAN FRANCISCOCA,Food,SAN FRANCISCO CA,-8.69
1/29/2016,24492156028637005529757,ONE MEDICAL ONEMEDICAL.COCA,Shopping_Entertainment_Miscellaneous,ONEMEDICAL.CO CA,-111.75
1/28/2016,24445006028600177806630,WALGREENS #7044 SAN FRANCISCOCA,Food,SAN FRANCISCO CA,-1.62
1/27/2016,24492156026713746096778,WISH.COM 415-503-3654 CA,Shopping_Entertainment_Miscellaneous,415-503-3654  CA,-3
1/27/2016,24492156026713746095929,WISH.COM 415-503-3654 CA,Shopping_Entertainment_Miscellaneous,415-503-3654  CA,-3
1/27/2016,24492156026713746093791,WISH.COM 415-503-3654 CA,Shopping_Entertainment_Miscellaneous,415-503-3654  CA,-13
1/27/2016,24492156026713746093429,WISH.COM 415-503-3654 CA,Shopping_Entertainment_Miscellaneous,415-503-3654  CA,-2
1/27/2016,24692166026000885640617,Amazon.com AMZN.COM/BILLWA,Shopping_Entertainment_Miscellaneous,AMZN.COM/BILL WA,-31.6
1/27/2016,24692166026000860809120,STARBUCKS #00658 SAN FRANSan FranciscoCA,Food,San Francisco CA,-3.45
1/25/2016,24071056024985323981001,T4 PALO ALTO PALO ALTO CA,Food,PALO ALTO     CA,-7.61
1/25/2016,24445006024100316299742,WALGREENS #5295 RENO NV,Food,RENO          NV,-3.19
1/25/2016,24445006024100316299668,WALGREENS #5295 RENO NV,Food,RENO          NV,-0.69
1/25/2016,24492156023313637644696,PARKBYSPACE PARKING FUND REDWOOD CITY CA,Transportation,REDWOOD CITY  CA,-0.4
1/25/2016,24692166023000359914129,CHEVRON 0092139 TRUCKEE CA,Transportation,TRUCKEE       CA,-20.58
1/22/2016,24492156021740324849794,SQ *SPREAD'Z SAN FRANCISCOCA,Food,SAN FRANCISCO CA,-4.34
1/22/2016,24707806021980150821399,RINCON MARKET SAN FRANCISCOCA,Food,SAN FRANCISCO CA,-5.17
1/21/2016,24445006021600161216611,WALGREENS #7044 SAN FRANCISCOCA,Food,SAN FRANCISCO CA,-2.99
1/20/2016,24692166019000550040803,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,Shopping_Entertainment_Miscellaneous,AMZN.COM/BILL WA,-5.66
1/20/2016,24122476019900011400962,JING JING RESTAURANT PALO ALTO CA,Food,PALO ALTO     CA,-9.73
1/19/2016,24755426018150180344662,YOPPI FROZEN YOGURT REDWOOD CITY CA,Food,REDWOOD CITY  CA,-4.84
1/18/2016,24492156017740305714260,SQ *TEASPOON SNOW C MOUNTAIN VIEWCA,Food,MOUNTAIN VIEW CA,-4.89
1/18/2016,24231686016091309000212,CHATIME MUSIC CAFE OAKLAND CA,Food,OAKLAND       CA,-4.38
1/16/2016,24055236016200000000051,BEST TASTE DELI & RESTER OAKLAND CA,Food,OAKLAND       CA,-30
1/16/2016,24707806015980150821397,RINCON MARKET SAN FRANCISCOCA,Food,SAN FRANCISCO CA,-8.47
