Status,Posted Date,Payee,Amount,Credit,Category
Cleared,5/2/2016,"TOKYO EXPRESS                           
",8.69,,Food
Cleared,5/2/2016,"SPREAD'Z                                
",5.43,,Food
Cleared,5/3/2016,"SORABOL_RINCON CENTER                   
",9.79,,Food
Cleared,5/3/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/4/2016,"BON APPETIT MANAGEMENT CO               
",8.7,,Food
Cleared,5/5/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/6/2016,"AUTOPAY PAYMENT - THANK YOU             
",,"2,312.86",
Cleared,5/6/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/7/2016,"SUSHIRITTO MARKET 0000                  
",12,,Food
Cleared,5/7/2016,"IZAKAYA ROKU 00-08022827706             
",28.51,,Food
Cleared,5/9/2016,"BUCKHORN GRILL                          
",11.06,,Food
Cleared,5/9/2016,"SPREAD'Z                                
",5.43,,Food
Cleared,5/10/2016,"YANK SING - SPEAR ST 000000001          
",9.52,,Food
Cleared,5/10/2016,"SUPER DUPER BURGER 542929805541646      
",4.35,,Food
Cleared,5/11/2016,"SORABOL_RINCON CENTER                   
",9.79,,Food
Cleared,5/11/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/12/2016,"COSTCO WHOLESALE                        
",44.54,,Food
Cleared,5/12/2016,"COSTCO WHOLESALE                        
",44.49,,Food
Cleared,5/13/2016,"HRDTM                                   
",12.91,,
Cleared,5/13/2016,"SPREAD'Z                                
",5.34,,Food
Cleared,5/15/2016,"YAYOI PALO ALTO                         
",129.41,,Food
Cleared,5/16/2016,"TOKYO EXPRESS                           
",8.69,,Food
Cleared,5/16/2016,"SPREAD'Z                                
",5.43,,Food
Cleared,5/16/2016,"SUBWAY                                  
",1.7,,Food
Cleared,5/17/2016,"SORABOL_RINCON CENTER                   
",9.79,,Food
Cleared,5/17/2016,"SUPER DUPER BURGER 542929805541646      
",3.53,,Food
Cleared,5/17/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/18/2016,"KING OF THAI NOODLE HOUSE 000286607154  
",25.38,,Food
Cleared,5/18/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/19/2016,"SPREAD'Z                                
",5.43,,Food
Cleared,5/19/2016,"LOS COMPADRES                           
",8.45,,Food
Cleared,5/20/2016,"GOTT'S ROADSIDE 542929804419893         
",14.13,,Food
Cleared,5/22/2016,"KONJOE BURGER BAR                       
",13.46,,Food
Cleared,5/23/2016,"COSTCO WHOLESALE                        
",3.27,,Food
Cleared,5/23/2016,"COSTCO WHOLESALE                        
",74.4,,Food
Cleared,5/23/2016,"SORABOL_RINCON CENTER                   
",9.79,,Food
Cleared,5/24/2016,"SPREAD'Z                                
",5.43,,Food
Cleared,5/25/2016,"SORABOL_RINCON CENTER                   
",9.79,,Food
Cleared,5/25/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/27/2016,"SENOR SISIG                             
",10.74,,Food
Cleared,5/27/2016,"SPREAD'Z                                
",4.34,,Food
Cleared,5/28/2016,"BEEZ NEEZ GOURMET SAUSAG 0000           
",8.05,,Food
Cleared,5/30/2016,"BUFFALO WILD WINGS 3371 BUFFALO WILD W  
",23,,Food
Cleared,5/31/2016,"COSTCO WHOLESALE                        
",57.32,,Food
Cleared,5/31/2016,"COSTCO WHOLESALE                        
",53.96,,Food
