Status,Posted Date,Payee,Amount,Credit,Category
Cleared,9/1/2016,"CLIPPER #3014            SAN FRANCISCOCA
",190.8,,Gas
Cleared,9/1/2016,"COSTCO *M111802951916    ISSAQUAH     WA
",110,,Shopping
Cleared,9/10/2016,"COSTCO WHSE #0147        FOSTER CITY  CA
",1.64,,Food
Cleared,9/11/2016,"SHELL OIL 57444214407    REDWOOD CITY CA
",38.59,,Gas
Cleared,9/16/2016,"COSTCO WHSE #1042        REDWOOD CITY CA
",30.55,,Food
Cleared,9/21/2016,"WALGREENS #7044          SAN FRANCISCOCA
",1.99,,Food
Cleared,9/22/2016,"SUPER DUPER BURGER       SAN FRANCISCOCA
",4.35,,Food
Cleared,9/22/2016,"SORABOL RINCON LLC       SAN FRANCISCOCA
",9.79,,Food
Cleared,9/24/2016,"SUSHIRITTO MARKET        SAN FRANCISCOCA
",12,,Food
Cleared,9/24/2016,"SAFEWAY  STORE00015073   SAN FRANCISCOCA
",10.71,,Food
Cleared,9/24/2016,"SHELL OIL 57444214506    REDWOOD CITY CA
",31.56,,Gas
Cleared,9/24/2016,"CHEESECAKE PALO ALTO     PALO ALTO    CA
",17.94,,Food
Cleared,9/25/2016,"IKEA EAST PALO ALTO      E PALO ALTO  CA
",13.06,,Food
Cleared,9/26/2016,"WALGREENS #7044          SAN FRANCISCOCA
",3.29,,Food
Cleared,9/26/2016,"SQ *SPREAD'Z             SAN FRANCISCOCA
",6.43,,Food
Cleared,9/26/2016,"SEATGEEK EXCHANGE        888-506-4101 NY
",227.37,,
Cleared,9/27/2016,"WALGREENS #13596         PALO ALTO    CA
",1.08,,Food
Cleared,9/27/2016,"KANPAI                   PALO ALTO    CA
",11.42,,Food
Cleared,9/28/2016,"PIZZA ORGASMICA EMBARCAD SAN FRANCISCOCA
",8.7,,Food
Cleared,9/28/2016,"SQ *SPREAD'Z             SAN FRANCISCOCA
",5.43,,Food
Cleared,9/29/2016,"AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA
",9.77,,
Cleared,9/29/2016,"STARBUCKS STORE 00658    SAN FRANCISCOCA
",3.45,,Food
Cleared,9/29/2016,"CAFE VENUE               SAN FRANCISCOCA
",11.21,,Food
Cleared,9/30/2016,"STARBUCKS STORE 00658    SAN FRANCISCOCA
",2.95,,Food
Cleared,9/30/2016,"TOKYO EXPRESS            SAN FRANCISCOCA
",7.07,,Food
